id,hourly_wage,latitude,longitude,has_overtime,monthly_hours
JOB00001,1116,38.779153,141.035385,0,147
JOB00002,1331,34.930061,135.739966,1,169
JOB00003,1616,34.655157,135.866848,1,195
JOB00004,1122,32.231785,130.482006,0,170
JOB00005,1179,34.912316,135.185357,0,155
JOB00006,1108,39.317177,140.734435,1,180
JOB00007,1402,34.967016,135.616777,0,183
JOB00008,1453,35.010850,135.222898,0,139
JOB00009,1354,35.018314,136.976024,1,151
JOB00010,1566,34.856774,135.290446,0,184
JOB00011,1622,35.602014,139.863932,1,195
JOB00012,1408,40.185052,141.155023,1,178
JOB00013,1635,34.849070,136.654720,0,165
JOB00014,2001,35.457959,139.544921,1,167
JOB00015,1648,35.603748,139.577949,1,165
JOB00016,1754,35.091090,135.747645,0,138
JOB00017,1479,34.932010,137.063025,0,170
JOB00018,1566,35.508837,139.761947,1,170
JOB00019,1549,35.058199,135.242320,0,179
JOB00020,1327,35.814883,139.507023,0,168
JOB00021,1227,34.927908,137.269966,0,151
JOB00022,1221,35.641445,139.885516,0,154
JOB00023,1140,38.218863,140.700804,1,155
JOB00024,1937,35.851369,139.648522,1,177
JOB00025,1513,35.871975,139.817639,0,132
JOB00026,1650,35.611587,140.031838,0,181
JOB00027,1682,34.860581,135.727580,0,135
JOB00028,1770,35.608584,139.897171,0,159
JOB00029,1159,32.027376,131.106381,0,118
JOB00030,1982,35.489356,139.662908,1,206
JOB00031,1266,34.697817,136.723118,1,188
JOB00032,1806,34.785370,135.706872,1,156
JOB00033,1854,35.174197,135.893418,1,170
JOB00034,1185,40.533208,141.527055,0,166
JOB00035,1649,34.654057,136.880381,0,148
JOB00036,1376,38.921615,141.229926,1,202
JOB00037,1266,35.374043,136.953544,1,156
JOB00038,1412,31.339669,130.117725,1,209
JOB00039,1657,34.849650,135.563584,0,166
JOB00040,1579,34.825742,136.920518,0,142
JOB00041,1923,35.159903,135.596457,1,138
JOB00042,1784,34.751451,135.427300,0,141
JOB00043,1223,34.895872,135.908999,0,148
JOB00044,1254,33.329762,130.742443,0,172
JOB00045,1493,34.745091,137.007981,1,161
JOB00046,1490,35.207752,135.206983,0,135
JOB00047,1363,34.806219,136.893942,0,126
JOB00048,1822,35.538633,139.674724,0,157
JOB00049,1470,35.102657,137.039610,1,168
JOB00050,1212,34.980582,137.087718,1,162
JOB00051,1474,35.247042,137.172705,0,179
JOB00052,1615,35.481782,139.495571,0,171
JOB00053,1115,40.114985,140.364742,0,132
JOB00054,1711,35.531278,139.728392,0,170
JOB00055,1800,34.948922,136.797221,1,166
JOB00056,1412,31.702023,131.335372,0,137
JOB00057,1428,35.312123,136.803901,0,159
JOB00058,1199,31.450810,131.021144,0,134
JOB00059,1492,34.999877,137.139795,0,157
JOB00060,1640,35.783690,139.784607,1,171
JOB00061,1799,34.696811,135.328694,1,165
JOB00062,1557,35.022330,136.995133,0,143
JOB00063,1548,35.758995,139.500337,0,130
JOB00064,1600,35.458365,139.461105,0,187
JOB00065,1847,35.050852,136.941463,1,173
JOB00066,1352,34.718230,136.733489,1,190
JOB00067,1168,40.821158,140.738304,1,182
JOB00068,1333,35.020516,135.656147,0,134
JOB00069,1351,35.627845,139.611089,1,203
JOB00070,1244,39.871996,141.549640,1,179
JOB00071,1467,34.861942,135.983493,0,160
JOB00072,1728,35.041563,136.836881,1,150
JOB00073,1728,35.059481,135.627218,0,173
JOB00074,1861,35.705687,139.651958,0,158
JOB00075,1215,31.517170,130.829925,1,158
JOB00076,1879,35.594993,139.919998,0,162
JOB00077,1433,35.553029,140.047719,1,188
JOB00078,1474,35.074234,135.355990,0,170
JOB00079,1519,35.671018,139.784920,1,175
JOB00080,1500,34.799325,135.597185,0,134
JOB00081,1314,35.759918,139.870397,0,163
JOB00082,1389,35.575126,139.819757,0,179
JOB00083,1712,34.760469,135.396161,0,173
JOB00084,1593,34.898640,136.754802,0,169
JOB00085,1877,35.652479,139.576549,0,134
JOB00086,1364,34.998483,137.004124,0,130
JOB00087,1211,40.601834,141.559023,1,171
JOB00088,1232,34.986989,135.731734,0,181
JOB00089,1710,35.052021,136.878373,0,124
JOB00090,1382,35.812918,139.594710,0,170
JOB00091,1339,35.826759,139.669306,0,137
JOB00092,1905,34.762095,135.146797,1,172
JOB00093,1564,34.924816,135.747176,1,207
JOB00094,1161,39.662349,140.531145,0,145
JOB00095,1682,35.529593,139.997622,1,210
